intent,text
query_steps,"what were my total steps for the previous week"
query_steps,"please show me my walking activity from last week"
query_steps,"check my steps today"
query_steps,"what's my step count for today"
query_steps,"how many steps have i taken so far today"
query_steps,"can you check my steps today"
query_steps,"what are my total steps for the day"
query_steps,"how many more steps do i need to reach my goal today"
query_steps,"give me a real-time update on my steps"
query_steps,"show me my steps count for today"
query_steps,"how many steps have i logged today"
query_steps,"check my steps right now"
query_steps,"what's my current step total"
query_steps,"what is my step count so far today compared to yesterday"
query_steps,"what is my step count so far today compared to yesterday's total"
query_steps,"how many more steps do i need today to beat yesterday's count"
query_steps,"show me my steps today versus yesterday's steps"
query_steps,"compare my current steps to my steps at this time yesterday"
query_steps,"how do my steps today stack up against yesterday's"
query_steps,"what's the difference between my steps today and yesterday"
query_steps,"did i take more steps today than i did yesterday"
query_steps,"give me a side-by-side comparison of my steps from today and yesterday"
query_steps,"how are my steps trending compared to yesterday"
query_steps,"what's my steps count so far today compared to all of yesterday"
query_steps,"how was my step symmetry during my walk yesterday"
query_steps,"what was my average step symmetry over the weekend"
query_steps,"give me a report on my step symmetry during my last three hikes"
query_steps,"how did my step symmetry change during my last three runs"
query_steps,"how did my step symmetry look on tuesday of last week"
query_steps,"what's my step symmetry right now"
query_steps,"am i favoring one foot right now based on step symmetry"
query_steps,"how symmetrical are my steps at this moment"
query_steps,"give me an immediate reading of my step symmetry"
query_steps,"provide a live reading of my step symmetry"
query_steps,"how has my step symmetry changed since i started my new shoes"
query_steps,"what's the trend of my step symmetry over the last month"
query_steps,"has my step symmetry improved over the last 30 days"
query_steps,"what's the difference between my step count today versus last week's average"
query_steps,"compare my current step symmetry to my average historical data"
query_steps,"did i get more steps today than my average"
query_steps,"how many steps do i need to beat yesterday"
query_steps,"my current steps vs last week's average"
query_steps,"my avg steps this month vs last"
query_steps,"show my current steps"
query_steps,"how many steps i take so far"
query_steps,"tell me my steps"
query_steps,"check my step"
query_steps,"what my live steps"
query_steps,"how many steps i have today"
query_steps,"what's my current step count today"
query_steps,"how many steps i got now"
query_steps,"how many steps i take today"
query_steps,"show me my steps last month"
query_steps,"my avg steps from last month"
query_steps,"how many steps i get in last monday"
query_steps,"how many steps should i take"
query_steps,"how to get more steps"
query_steps,""what are the health benefits of walking 10000 steps"
query_steps,"how to increase my daily steps"
query_steps,"steps i took last week"
query_steps,"how many steps for weight loss"
query_steps,"compare today's steps with yesterday's"
query_steps,"what's a healthy number of steps per day"
query_steps,"what my avg steps this month"
query_steps,"steps i need to take to beat last week's average"
query_steps,"did i get more steps today then i did yesterday"
query_steps,"how my steps today vs my average"
query_steps,"what's my steps count from my run last month"
query_steps,"show me my steps count from my run last month"
query_steps,"how many steps did i take yesterday"
query_steps,"show me my steps from last wk"
query_steps,"show me my current pace on this walk"
query_steps,"how far have i walked today"
query_steps,"show me my steps count for today"
query_steps,"how many steps have i taken today"
query_steps,"check my steps right now"
query_steps,"tell me my steps"
query_steps,"what my live steps"
query_steps,"how many steps i take today"
query_steps,"whats my current step count today"
query_steps,"how many steps i got now"
query_steps,"my current steps vs last week's average"
query_steps,"compare my current steps to my average historical data"
query_steps,"did i get more steps today than my average"
query_steps,"how many steps i need to take to beat last week's average"
query_steps,"my avg steps this month vs last"
query_steps,"show my current steps"
query_steps,"how many steps i take so far"
query_steps,"tell me my steps"
query_steps,"check my step"
query_steps,"what my live steps"
query_steps,"how many steps i have today"
query_steps,"whats my current step count today"
query_steps,"how many steps i got now"
query_steps,"show me my steps last month"
query_steps,"my avg steps from last month"
query_steps,"how many steps i get in last monday"
query_steps,"show me my steps count from my run last month"
query_sleep,"how did i sleep last night"
query_sleep,"tell me about my sleep last night"
query_sleep,"how well did i sleep last night"
query_sleep,"can you show me a breakdown of my sleep stages from last night"
query_sleep,"what was the quality of my sleep last night"
query_sleep,"how many hours of sleep did i get last night"
query_sleep,"i'd like to see my sleep data from last night"
query_sleep,"did i get enough deep sleep last night"
query_sleep,"give me a summary of last night's sleep"
query_sleep,"what was my sleep score for last night"
query_sleep,"please analyze my sleep from yesterday"
query_sleep,"how is my sleep quality right now"
query_sleep,"how's my sleep quality right now"
query_sleep,"am i in a deep sleep stage"
query_sleep,"what's my current sleep status"
query_sleep,"how's my sleep looking at this moment"
query_sleep,"can you check on my current sleep quality"
query_sleep,"is my sleep monitor picking up anything right now"
query_sleep,"what is my current sleep stage"
query_sleep,"am i currently in rem sleep"
query_sleep,"give me a real-time update on my sleep"
query_sleep,"what's my current sleep score"
query_sleep,"did i sleep more or less last night compared to my weekly sleep average"
query_sleep,"how did my sleep last night compare to my average for the past year"
query_sleep,"how much sleep do adults need"
query_sleep,"how many hours of sleep should an adult get each night"
query_sleep,"what's the recommended amount of sleep for adults"
query_sleep,"what's the average sleep requirement for adults"
query_sleep,"how much sleep is considered enough for an adult"
query_sleep,"what's the guideline for adult sleep hours"
query_sleep,"can you tell me the ideal number of hours of sleep per night for an adult"
query_sleep,"how much sleep do most adults need"
query_sleep,"what's a healthy amount of sleep for an adult"
query_sleep,"what's the recommended sleep duration for an average adult"
query_sleep,"how many hours of sleep are generally considered healthy for adults"
query_sleep,"my sleep quality from last monday"
query_sleep,"how did my body temperature fluctuate during my sleep last night"
query_sleep,"did i meet my sleep goal for the month of october"
query_sleep,"how was my sleep last nite"
query_sleep,"gimme a summary of my sleep for the past 7 days"
query_sleep,"how many hours of rem sleep i got last night"
query_sleep,"how many hours did i sleep last nite"
query_sleep,"show me last nites sleep"
query_sleep,"my sleep from last night vs my goal"
query_sleep,"is my sleep getting better"
query_sleep,"is my sleep duration improving over time"
query_sleep,"how is my average sleep duration trending"
query_sleep,"how did i sleep last night compared to my average for the last 30 days"
query_sleep,"am i in my deep sleep stage right now"
query_sleep,"am i in deep sleep now"
query_sleep,"am i in rem sleep"
query_sleep,"tell me my current sleep stage"
query_sleep,"what's my current sleep score"
query_sleep,"how my sleep compares to last week"
query_sleep,"how my sleep quality last night compares to my best"
query_sleep,"how much sleep i got yesterday"
query_sleep,"did i get a lot of deep sleep last night"
query_sleep,"how to get more deep sleep"
query_sleep,"how to get better sleep"
query_sleep,"how to improve sleep quality"
query_sleep,"what foods help with sleep"
query_sleep,"what's considered a good sleep score"
query_sleep,"is 7 hours of sleep enough"
query_sleep,"is 8 hours of sleep enough"
query_sleep,"how did i sleep last night compared to my average"
query_sleep,"show me my sleep data from two nights ago"
query_sleep,"my average sleep from this week vs last"
query_sleep,"how did i sleep lats night"
query_sleep,"how my sleep last night compares to my weekly average"
query_sleep,"did i sleep better last nite than last week"
query_sleep,"my sleep from last night vs my goal"
query_sleep,"is my sleep getting better over time"
query_sleep,"tell me my current sleep stage"
query_sleep,"how's my sleep quality right now"
query_sleep,"what is my current sleep stage"
query_sleep,"how much sleep do i need tonight"
query_sleep,"am i getting enough sleep"
query_sleep,"how long did i sleep yesterday"
query_sleep,"how many hours did i sleep last night"
query_sleep,"how many hours of deep sleep did i get last night"
query_sleep,"how much rem sleep did i get last night"
query_sleep,"can you show my sleep stages from last night"
query_sleep,"how was my sleep quality last night"
query_sleep,"what was my average sleep duration last week"
query_sleep,"how did my sleep change over the past week"
query_sleep,"show me a graph of my sleep trends"
query_sleep,"how is my sleep compared to last week"
query_sleep,"how much sleep did i get last night vs the night before"
query_sleep,"what was my sleep score last night"
query_sleep,"how was my sleep pattern last night"
query_sleep,"what's my sleep trend this week"
query_sleep,"show me my sleep summary for the past week"
query_sleep,"how many hours of light sleep did i get last night"
query_sleep,"how is my sleep efficiency"
query_sleep,"what's my current sleep quality score"
query_sleep,"did i sleep enough last night"
query_sleep,"show me last night's sleep analysis"
query_sleep,"compare my sleep last night to my average"
query_sleep,"how many hours of sleep did i get yesterday"
query_sleep,"what was my bedtime and wake-up time last night"
query_sleep,"how is my sleep schedule trending"
query_sleep,"how many times did i wake up last night"
query_sleep,"show me my nightly sleep stats"
query_sleep,"how restful was my sleep last night"
query_sleep,"how well did i rest last night"
query_sleep,"did i get restorative sleep last night"
query_sleep,"show me my sleep score trend"
query_sleep,"how is my sleep monitored currently"
query_sleep,"am i in a light sleep stage now"
query_sleep,"what's my real-time sleep stage"
query_sleep,"show me a summary of today's sleep"
query_sleep,"how many hours of sleep did i get today"
query_sleep,"compare today's sleep to yesterday"
query_sleep,"is my sleep quality improving"
query_sleep,"how is my deep sleep trending"
query_sleep,"what's my sleep efficiency score"
query_sleep,"how many hours did i spend in rem sleep"
query_sleep,"how many hours did i spend in deep sleep"
query_sleep,"show me sleep trends over the last month"
query_sleep,"how is my sleep duration trending"
query_sleep,"am i meeting my sleep goals"
query_sleep,"how long have i been asleep"
query_sleep,"what's my bedtime trend"
query_sleep,"what's my wake-up time trend"
query_sleep,"how well did i sleep last night compared to last week"
query_sleep,"how much sleep did i miss last night"
query_sleep,"how much sleep did i get last night vs my target"
query_sleep,"show me the comparison of my sleep duration over the week"
query_sleep,"how is my sleep pattern this week"
blood_pressure,"what is my current blood pressure"
blood_pressure,"check my bp now"
blood_pressure,"show me my current blood pressure reading"
blood_pressure,"how is my blood pressure today"
blood_pressure,"what was my blood pressure this morning"
blood_pressure,"what is my bp at the moment"
blood_pressure,"how has my blood pressure changed over the last week"
blood_pressure,"show me a graph of my blood pressure trends"
blood_pressure,"what is the trend of my bp this week"
blood_pressure,"compare my blood pressure today to yesterday"
blood_pressure,"how does my current bp compare to my average"
blood_pressure,"is my blood pressure within normal range"
blood_pressure,"show me my bp history for the past month"
blood_pressure,"what was my lowest bp reading last week"
blood_pressure,"what was my highest blood pressure reading last month"
blood_pressure,"how is my bp trending over the last 30 days"
blood_pressure,"compare my current bp to last week's average"
blood_pressure,"what was my blood pressure at 8 am today"
blood_pressure,"how has my bp fluctuated today"
blood_pressure,"show me my average blood pressure for this week"
blood_pressure,"what is my systolic and diastolic bp right now"
blood_pressure,"how does my blood pressure compare to my target"
blood_pressure,"has my bp been stable this week"
blood_pressure,"show me my recent blood pressure readings"
blood_pressure,"what was my last recorded bp"
blood_pressure,"check my systolic and diastolic readings"
blood_pressure,"how is my bp trending compared to last month"
blood_pressure,"what was my average blood pressure last quarter"
blood_pressure,"compare my blood pressure this month to the previous month"
blood_pressure,"how high was my bp yesterday"
blood_pressure,"how low did my blood pressure get last week"
blood_pressure,"show me a chart of my blood pressure over the last year"
blood_pressure,"how has my bp changed since last visit"
blood_pressure,"what is my current blood pressure zone"
blood_pressure,"am i in a healthy bp range"
blood_pressure,"what is the trend of my systolic bp this week"
blood_pressure,"show me diastolic bp trends"
blood_pressure,"how does my current bp compare to the past week"
blood_pressure,"how is my bp trending this month"
blood_pressure,"show me my weekly bp summary"
blood_pressure,"what is my morning blood pressure reading"
blood_pressure,"check my bp before breakfast"
blood_pressure,"what was my blood pressure after exercise"
blood_pressure,"show me my bp before bedtime"
blood_pressure,"what was my average systolic and diastolic bp last month"
blood_pressure,"how is my bp compared to my target range"
blood_pressure,"compare today’s bp to last week"
blood_pressure,"how did my blood pressure fluctuate yesterday"
blood_pressure,"show me my long-term blood pressure trend"
blood_pressure,"what is my average blood pressure over the last 7 days"
blood_pressure,"how has my bp been over the past 3 months"
blood_pressure,"what was my bp reading last night"
blood_pressure,"how does my current bp compare to last month"
blood_pressure,"is my blood pressure going up or down"
blood_pressure,"show me bp trends for the last quarter"
blood_pressure,"compare systolic and diastolic bp over the last month"
blood_pressure,"what is my average bp for the past week"
blood_pressure,"check my current systolic and diastolic levels"
blood_pressure,"how is my blood pressure trending recently"
blood_pressure,"what was my morning bp yesterday"
blood_pressure,"show me my blood pressure record for last week"
blood_pressure,"what is the difference between my morning and evening bp"
blood_pressure,"how was my blood pressure yesterday at 3 pm"
blood_pressure,"compare yesterday's bp to today’s"
blood_pressure,"what was my lowest blood pressure last month"
blood_pressure,"what was my highest bp reading last year"
blood_pressure,"show me a chart of my bp fluctuations over the last 6 months"
blood_pressure,"how has my blood pressure changed over the past 6 months"
blood_pressure,"what is my current bp compared to last week"
blood_pressure,"am i within a healthy blood pressure range"
blood_pressure,"show me a summary of my blood pressure readings"
blood_pressure,"what was my average bp last quarter"
blood_pressure,"how did my blood pressure change during the week"
blood_pressure,"check my morning and evening bp"
blood_pressure,"what is my current systolic reading"
blood_pressure,"what is my current diastolic reading"
blood_pressure,"how has my bp trend changed this month"
blood_pressure,"show me my bp trend over the last 30 days"
blood_pressure,"what is my blood pressure history"
blood_pressure,"compare my blood pressure over the last month"
blood_pressure,"what was my average bp last week"
blood_pressure,"how is my bp compared to my usual readings"
blood_pressure,"what is my current bp category"
blood_pressure,"am i in the normal bp range"
blood_pressure,"show me my daily bp readings"
blood_pressure,"what was my blood pressure at 6 am today"
blood_pressure,"how did my bp vary during the day"
blood_pressure,"compare morning and evening bp readings"
blood_pressure,"how is my blood pressure trending over time"
blood_pressure,"what is the trend of my bp over the past week"
blood_pressure,"show me a summary of my systolic and diastolic bp"
blood_pressure,"what was my bp last night before sleeping"
blood_pressure,"how does my current blood pressure compare to last year"
blood_pressure,"how high was my systolic reading today"
blood_pressure,"how low was my diastolic reading today"
blood_pressure,"show me a graph of my bp changes"
blood_pressure,"what is my blood pressure compared to my target"
blood_pressure,"check my bp and tell me if it's normal"
blood_pressure,"what was my average blood pressure today"
blood_pressure,"show me the trend of my bp this month"
blood_pressure,"how has my systolic bp changed"
blood_pressure,"how has my diastolic bp changed"
blood_pressure,"compare today's bp to last month's average"
blood_pressure,"how has my bp changed over the past year"
blood_pressure,"show me a summary of my blood pressure trends"
blood_pressure,"what was my current blood pressure yesterday"
blood_pressure,"how is my bp currently trending"
blood_pressure,"compare my bp today with last week"
blood_pressure,"what is the highest blood pressure reading this month"
blood_pressure,"what is the lowest bp reading this month"
blood_pressure,"how does my current bp compare to historical readings"
blood_pressure,"show me my average bp for this month"
blood_pressure,"how has my blood pressure been trending recently"
blood_pressure,"what is my blood pressure reading right now"
blood_pressure,"check my current bp level"
blood_pressure,"show me my bp for the past week"
blood_pressure,"how has my bp varied over the past month"
blood_pressure,"what is my average bp over the last 7 days"
blood_pressure,"show me a chart of my blood pressure over time"
blood_pressure,"how is my systolic and diastolic bp trending"
blood_pressure,"what was my morning blood pressure reading last week"
blood_pressure,"compare morning and evening bp last week"
blood_pressure,"how did my blood pressure trend last month"
blood_pressure,"show me my bp history for the past 6 months"
blood_pressure,"what is my current blood pressure trend"
blood_pressure,"compare my bp today vs last month"
blood_pressure,"how is my blood pressure trend this week"
blood_pressure,"what was my bp reading yesterday"
blood_pressure,"show me the average blood pressure for today"
blood_pressure,"how is my bp compared to last week"
blood_pressure,"what is my blood pressure trend for this month"
blood_pressure,"show me bp trends over the past year"
calories,"how many calories have i burned today"
calories,"show me my calorie burn for this workout"
calories,"how many calories did i burn this morning"
calories,"what is my current calorie burn rate"
calories,"check my calories burned so far"
calories,"how many calories did i consume today"
calories,"show me my daily calorie intake"
calories,"how many calories have i eaten today"
calories,"what is my total calorie consumption so far"
calories,"how many calories did i burn during my last workout"
calories,"show me my calories burned during this run"
calories,"how many calories have i burned in my cardio session"
calories,"what is my total calorie expenditure today"
calories,"check how many calories i’ve burned this week"
calories,"show me a summary of my calories burned this week"
calories,"how many calories did i consume for breakfast"
calories,"how many calories were in my lunch today"
calories,"what is my total calorie intake this week"
calories,"how many calories did i eat yesterday"
calories,"show me my calories consumed yesterday"
calories,"how many calories have i burned this month"
calories,"what is my average daily calorie burn"
calories,"check my calories burned for yesterday's workout"
calories,"how many calories did i burn in my last session"
calories,"show me a graph of my daily calorie burn"
calories,"what were my calories burned during last week"
calories,"how many calories did i consume for dinner"
calories,"show me my total calories eaten today"
calories,"how many calories have i eaten so far today"
calories,"what is my current calorie deficit"
calories,"how many calories do i need to burn today"
calories,"show me my calories burned during my last run"
calories,"how many calories did i burn in my HIIT session"
calories,"check my calorie burn for the last 30 minutes"
calories,"how many calories did i consume for my snack"
calories,"show me my calorie intake for the past 24 hours"
calories,"how many calories did i burn during yoga"
calories,"how many calories have i consumed so far this week"
calories,"show me the calories burned in my last cardio"
calories,"how many calories did i eat yesterday evening"
calories,"check my calorie intake for today"
calories,"what is my average calorie intake this week"
calories,"how many calories did i burn in the gym today"
calories,"show me my total calories burned this month"
calories,"how many calories have i consumed this month"
calories,"what were my calories burned yesterday"
calories,"how many calories did i burn during cycling"
calories,"show me calories burned in last 7 days"
calories,"check my calorie consumption for the last 3 days"
calories,"how many calories did i eat this morning"
calories,"show me my calories eaten for lunch today"
calories,"what is my average calories consumed per day"
calories,"how many calories did i burn in my strength training"
calories,"show me calories burned during my last HIIT session"
calories,"how many calories did i consume in my last meal"
calories,"check how many calories i burned yesterday"
calories,"how many calories did i eat this week"
calories,"show me my calories burned today vs yesterday"
calories,"how many calories have i burned in my last cardio session"
calories,"check my calories burned during this week"
calories,"how many calories did i consume during breakfast"
calories,"show me calories consumed during lunch today"
calories,"how many calories did i burn running yesterday"
calories,"how many calories have i eaten so far this month"
calories,"show me a graph of my calories consumed daily"
calories,"how many calories did i burn yesterday"
calories,"check my total calories burned so far"
calories,"how many calories did i consume in my last meal"
calories,"show me calories burned during my last cycling session"
calories,"how many calories have i eaten this week"
calories,"what is my current calorie intake today"
calories,"check how many calories i burned in last workout"
calories,"how many calories did i burn this morning’s session"
calories,"show me my calories eaten for yesterday"
calories,"how many calories did i consume during dinner"
calories,"check my calories consumed yesterday"
calories,"how many calories have i burned in my last gym session"
calories,"show me my calories burned during yoga"
calories,"how many calories did i consume for breakfast today"
calories,"check my calorie intake for lunch today"
calories,"how many calories did i burn this week"
calories,"show me calories consumed for last 3 meals"
calories,"how many calories have i eaten this year"
calories,"check my calories burned this month"
calories,"how many calories did i consume today so far"
calories,"show me total calories burned in the last 24 hours"
calories,"how many calories did i burn during my last run"
calories,"check my calories eaten yesterday morning"
calories,"how many calories have i burned so far today"
calories,"show me calories consumed for breakfast and lunch"
calories,"how many calories did i burn in my HIIT workout"
calories,"check total calories consumed today"
calories,"how many calories have i eaten in last 24 hours"
calories,"show me calories burned during strength training"
calories,"how many calories did i consume during my last snack"
calories,"check calories eaten for my last 3 meals"
calories,"how many calories have i burned this month"
calories,"show me my average calorie burn per workout"
calories,"how many calories did i burn in last 7 days"
calories,"check calories burned in my last gym session"
calories,"how many calories have i eaten this week"
calories,"show me calories consumed vs calories burned today"
calories,"how many calories did i eat yesterday evening"
calories,"check my calorie intake this week"
calories,"how many calories did i burn this afternoon"
calories,"show me total calories consumed for today"
calories,"how many calories have i burned so far this week"
calories,"check my calories burned yesterday afternoon"
calories,"how many calories did i consume this morning"
calories,"show me a summary of calories burned this week"
calories,"how many calories have i eaten so far this week"
calories,"check calories burned in last 3 workouts"
calories,"how many calories did i burn yesterday morning"
calories,"show me my calorie intake for the last 7 days"
calories,"how many calories have i consumed this afternoon"
calories,"check calories burned during last 24 hours"
calories,"how many calories did i eat in my last meal"
calories,"show me calories burned during my last strength training"
calories,"how many calories have i eaten today so far"
calories,"check calories burned in yesterday’s workout"
calories,"how many calories did i consume for yesterday’s breakfast"
calories,"show me my calories burned in the last week"
calories,"how many calories have i consumed today"
calories,"check my total calorie intake today"
calories,"how many calories did i burn during my last yoga session"
calories,"show me calories consumed yesterday"
calories,"how many calories have i eaten so far today"
calories,"check calories burned in my last run"
calories,"how many calories did i burn this morning"
calories,"show me a summary of calories consumed today"
calories,"how many calories have i eaten in my last meal"
calories,"check my calories burned for yesterday"
calories,"how many calories did i burn in my last HIIT session"
general_query,"what is my current weight"
general_query,"show me my weight today"
general_query,"what was my weight yesterday"
general_query,"how has my weight changed this week"
general_query,"show me my weight trend for this month"
general_query,"compare my weight today to last week"
general_query,"what is my BMI"
general_query,"show me my BMI for today"
general_query,"what is a healthy BMI for me"
general_query,"compare my BMI to last month"
general_query,"how many ounces of water have I drunk today"
general_query,"show me my hydration for the last 24 hours"
general_query,"compare my water intake today vs yesterday"
general_query,"how much water should I drink per day"
general_query,"am I meeting my daily hydration goal"
general_query,"how much protein have I eaten today"
general_query,"show me my protein intake this week"
general_query,"compare my protein intake today vs last week"
general_query,"what is a healthy daily protein goal"
general_query,"how many grams of fiber should I eat daily"
general_query,"what are some good sources of fiber"
general_query,"show me my average daily fiber intake"
general_query,"how much cardio have I done this week"
general_query,"show me my cardio activity today"
general_query,"compare my cardio today to yesterday"
general_query,"how many minutes of cardio did I do yesterday"
general_query,"what is my current VO2 max"
general_query,"show me my VO2 max trend this month"
general_query,"compare my VO2 max today vs last week"
general_query,"how is my VO2 max trending"
general_query,"how is my pace today"
general_query,"compare my pace today vs last run"
general_query,"what was my average pace last week"
general_query,"show me my pace trend over the last month"
general_query,"how many steps did I take last week"
general_query,"compare my steps today vs yesterday"
general_query,"show me my average steps for this month"
general_query,"how many steps do I need to reach my goal"
general_query,"what is a healthy number of steps per day"
general_query,"show me my total activity time today"
general_query,"compare my activity today vs last week"
general_query,"what is my current stress level"
general_query,"show me my stress trend this week"
general_query,"compare my stress today vs yesterday"
general_query,"how is my stress level trending"
general_query,"what are some ways to reduce stress"
general_query,"how is my cholesterol today"
general_query,"show me my cholesterol readings this month"
general_query,"compare my cholesterol today vs last month"
general_query,"what foods help lower cholesterol"
general_query,"show me my total calories consumed today"
general_query,"compare my calories today vs yesterday"
general_query,"how many calories should I eat per day"
general_query,"what is a healthy diet plan for me"
general_query,"how many hours of sleep did I get this week"
general_query,"show me my average sleep duration"
general_query,"compare my sleep last night vs last week"
general_query,"how is my sleep quality trending"
general_query,"what is my current heart rate trend"
general_query,"show me my heart rate summary this week"
general_query,"compare my heart rate today vs yesterday"
general_query,"how is my resting heart rate trending"
general_query,"what was my average heart rate last month"
general_query,"show me my pulse data for today"
general_query,"compare my pulse today vs last week"
general_query,"how is my cardiovascular health trending"
general_query,"what is a healthy resting heart rate"
general_query,"show me my total activity for the past 7 days"
general_query,"compare my activity this month vs last month"
general_query,"how is my average pace trending over the last month"
general_query,"show me my weight trend for the past 6 months"
general_query,"compare my weight today to last month"
general_query,"how many minutes have I exercised today"
general_query,"show me my total exercise time this week"
general_query,"compare my exercise time today vs yesterday"
general_query,"how is my fitness level trending"
general_query,"what is my VO2 max today"
general_query,"show me my average VO2 max over the last month"
general_query,"compare my VO2 max this week vs last week"
general_query,"how is my VO2 max trending this month"
general_query,"how many workouts have I completed this week"
